asset_ip,vuln_count,score_mean,score_max,cvss_mean,epss_mean,exposure,cisa_count,cve_trend_count,months_open_max,cluster,risk_profile
198.51.100.103,8,17.425,20.6,7.2125,0.00125,3,0,1,3.0,2,Moderate
198.51.100.104,2,8.4,13.8,2.7,0.0,3,0,0,5.0,0,Critical
198.51.100.105,5,17.84,20.6,7.42,0.0,3,0,0,5.0,1,High
198.51.100.106,8,11.375,20.0,4.0625,0.05125,3,0,1,5.0,0,Critical
198.51.100.107,2,8.4,13.8,2.7,0.0,3,0,0,5.0,0,Critical
198.51.100.108,2,8.4,13.8,2.7,0.0,3,0,0,5.0,0,Critical
198.51.100.109,85,22.96235294117647,32.2,8.367058823529412,0.23376470588235296,3,34,8,5.0,3,Low
198.51.100.11,9,13.833333333333334,31.8,4.9,0.09555555555555556,3,1,0,5.0,1,High
198.51.100.110,50,18.782,30.3,7.308,0.053599999999999995,3,9,1,0.0,2,Moderate
198.51.100.111,2,8.4,13.8,2.7,0.0,3,0,0,5.0,0,Critical
198.51.100.112,21,17.242857142857144,30.3,6.89047619047619,0.04523809523809524,3,1,1,5.0,1,High
198.51.100.113,26,20.56153846153846,27.6,7.907692307692307,0.04153846153846154,3,8,1,5.0,1,High
198.51.100.114,13,14.515384615384615,27.0,5.453846153846154,0.04615384615384615,3,1,1,5.0,1,High
198.51.100.115,11,12.127272727272727,23.2,4.345454545454545,0.08636363636363636,3,0,2,5.0,1,High
198.51.100.116,1,3.0,3.0,0.0,0.0,3,0,1,5.0,0,Critical
198.51.100.117,5,16.96,19.2,6.9799999999999995,0.0,3,0,0,1.0,2,Moderate
198.51.100.118,5,11.66,17.5,4.0600000000000005,0.10600000000000001,3,0,0,5.0,1,High
198.51.100.119,29,18.062068965517245,30.3,7.362068965517241,0.03379310344827586,3,1,2,5.0,1,High
198.51.100.12,6,9.233333333333333,16.0,3.116666666666667,0.0,3,0,1,5.0,0,Critical
198.51.100.120,5,18.12,20.6,7.56,0.0,3,0,0,5.0,1,High
198.51.100.121,20,17.21,22.6,7.095000000000001,0.0055,3,0,1,5.0,1,High
198.51.100.122,5,16.68,19.2,6.74,0.038,3,0,0,1.0,2,Moderate
198.51.100.123,8,18.975,22.6,7.987500000000001,0.0,3,0,0,4.0,1,High
198.51.100.124,6,9.666666666666666,16.0,3.3333333333333335,0.0,3,0,0,5.0,0,Critical
198.51.100.125,5,9.24,16.0,3.12,0.0,3,0,1,5.0,0,Critical
198.51.100.126,5,8.82,17.3,2.48,0.16999999999999998,3,0,0,5.0,0,Critical
198.51.100.127,3,9.066666666666668,13.8,3.0333333333333337,0.0,3,0,0,5.0,0,Critical
198.51.100.13,5,8.32,13.8,2.66,0.0,3,0,0,5.0,0,Critical
198.51.100.14,7,12.085714285714285,19.4,4.214285714285714,0.13142857142857142,3,0,0,5.0,1,High
198.51.100.15,6,9.966666666666667,16.0,3.483333333333333,0.0,3,0,1,5.0,0,Critical
198.51.100.16,7,18.457142857142856,22.6,7.728571428571429,0.0,3,0,1,0.0,2,Moderate
198.51.100.17,14,18.99285714285714,32.3,6.807142857142858,0.26,3,3,1,5.0,1,High
198.51.100.18,7,18.62857142857143,22.6,7.814285714285715,0.0,3,0,0,2.0,2,Moderate
198.51.100.19,12,19.2,23.2,7.908333333333334,0.07666666666666667,3,0,0,5.0,1,High
198.51.100.2,12,19.075,22.6,8.025,0.004166666666666667,3,0,1,5.0,1,High
198.51.100.20,8,18.75,22.6,7.875,0.0,3,0,0,5.0,1,High
198.51.100.21,4,19.75,22.6,8.375,0.0,3,0,2,0.0,2,Moderate
198.51.100.22,6,10.733333333333334,19.4,3.75,0.04833333333333333,3,0,0,5.0,0,Critical
198.51.100.23,7,12.085714285714285,19.4,4.214285714285714,0.13142857142857142,3,0,1,5.0,1,High
198.51.100.24,2,8.4,13.8,2.7,0.0,3,0,0,5.0,0,Critical
198.51.100.25,2,8.4,13.8,2.7,0.0,3,0,0,4.0,0,Critical
198.51.100.26,11,18.381818181818183,29.6,7.145454545454545,0.12545454545454546,3,1,1,5.0,1,High
198.51.100.27,9,18.866666666666667,22.6,7.933333333333334,0.0,3,0,0,5.0,1,High
