host_ip,qtd_vulns,score_medio,score_max,cvss_medio,epss_medio,exposicao,qtd_cisa,qtd_cve_trend,meses_aberto_max,cluster,perfil_risco
192.168.10.183,5,9.0,16.0,3.0,0.0,3,0,0,5.0,2,Moderado
192.168.10.185,3,12.066666666666668,19.4,4.3,0.09666666666666666,3,0,0,5.0,2,Moderado
192.168.10.192,3,12.066666666666668,19.4,4.3,0.09666666666666666,3,0,0,2.0,1,Alto
192.168.10.194,5,9.0,16.0,3.0,0.0,3,0,0,2.0,2,Moderado
192.168.10.195,4,10.5,16.0,3.75,0.0,3,0,0,1.0,1,Alto
192.168.10.218,6,8.0,16.0,2.5,0.0,3,0,0,3.0,2,Moderado
192.168.10.220,5,9.0,16.0,3.0,0.0,3,0,0,5.0,2,Moderado
192.168.10.221,5,9.0,16.0,3.0,0.0,3,0,0,5.0,2,Moderado
192.168.10.222,5,9.0,16.0,3.0,0.0,3,0,0,5.0,2,Moderado
192.168.10.223,5,9.0,16.0,3.0,0.0,3,0,0,5.0,2,Moderado
192.168.10.224,5,9.0,16.0,3.0,0.0,3,0,0,5.0,2,Moderado
192.168.10.227,5,9.0,16.0,3.0,0.0,3,0,0,5.0,2,Moderado
192.168.10.246,1,3.0,3.0,0.0,0.0,3,0,0,5.0,3,Baixo
192.168.10.254,1,3.0,3.0,0.0,0.0,3,0,0,5.0,3,Baixo
192.168.10.29,5,9.0,16.0,3.0,0.0,3,0,0,5.0,2,Moderado
192.168.10.4,4,9.85,15.6,3.425,0.0,3,0,0,5.0,2,Moderado
192.168.10.60,1,3.0,3.0,0.0,0.0,3,0,0,5.0,3,Baixo
192.168.10.63,2,11.2,19.4,3.75,0.145,3,0,0,5.0,2,Moderado
192.168.10.64,2,11.2,19.4,3.75,0.145,3,0,0,5.0,2,Moderado
192.168.10.67,2,11.2,19.4,3.75,0.145,3,0,0,5.0,2,Moderado
192.168.10.71,1,3.0,3.0,0.0,0.0,3,0,0,5.0,3,Baixo
192.168.100.17,49,21.379591836734697,32.2,8.622448979591837,0.003061224489795918,3,10,0,0.0,1,Alto
192.168.100.201,4,11.175,17.5,3.75,0.1325,3,0,0,5.0,2,Moderado
192.168.100.203,4,11.175,17.5,3.75,0.1325,3,0,0,5.0,2,Moderado
192.168.100.205,4,11.175,17.5,3.75,0.1325,3,0,0,5.0,2,Moderado
192.168.100.206,4,11.175,17.5,3.75,0.1325,3,0,0,5.0,2,Moderado
192.168.100.207,4,11.175,17.5,3.75,0.1325,3,0,0,5.0,2,Moderado
192.168.100.208,4,11.175,17.5,3.75,0.1325,3,0,0,5.0,2,Moderado
192.168.100.209,4,11.175,17.5,3.75,0.1325,3,0,0,5.0,2,Moderado
192.168.100.210,4,11.175,17.5,3.75,0.1325,3,0,0,5.0,2,Moderado
192.168.100.211,4,11.175,17.5,3.75,0.1325,3,0,0,5.0,2,Moderado
192.168.100.212,4,11.175,17.5,3.75,0.1325,3,0,0,5.0,2,Moderado
192.168.100.213,4,11.175,17.5,3.75,0.1325,3,0,0,5.0,2,Moderado
192.168.100.214,4,11.175,17.5,3.75,0.1325,3,0,0,5.0,2,Moderado
192.168.100.215,4,11.175,17.5,3.75,0.1325,3,0,0,5.0,2,Moderado
192.168.100.216,4,11.175,17.5,3.75,0.1325,3,0,0,5.0,2,Moderado
192.168.100.217,4,11.175,17.5,3.75,0.1325,3,0,0,5.0,2,Moderado
192.168.100.218,4,11.175,17.5,3.75,0.1325,3,0,0,5.0,2,Moderado
192.168.100.219,4,11.175,17.5,3.75,0.1325,3,0,0,5.0,2,Moderado
192.168.100.220,4,11.175,17.5,3.75,0.1325,3,0,0,5.0,2,Moderado
192.168.100.221,4,11.175,17.5,3.75,0.1325,3,0,0,5.0,2,Moderado
192.168.100.253,1,3.0,3.0,0.0,0.0,3,0,0,5.0,3,Baixo
192.168.100.254,1,3.0,3.0,0.0,0.0,3,0,0,5.0,3,Baixo
192.168.100.36,64,21.8953125,32.2,8.5921875,0.030156250000000002,3,19,0,1.0,1,Alto
192.168.100.44,2,20.6,22.6,8.8,0.0,3,0,0,0.0,1,Alto
192.168.100.48,44,21.46590909090909,32.2,8.661363636363637,0.002045454545454545,3,9,0,0.0,1,Alto
192.168.100.6,28,20.58214285714286,23.9,8.696428571428571,0.002142857142857143,3,1,0,3.0,0,Crítico
192.168.100.63,3,20.366666666666667,23.9,7.8,0.02,3,1,0,0.0,1,Alto
192.168.100.90,48,21.18541666666667,32.2,8.56875,0.001875,3,9,0,5.0,0,Crítico
192.168.15.10,38,20.818421052631578,27.6,8.442105263157895,0.004210526315789474,3,7,0,2.0,1,Alto
192.168.15.11,3,16.266666666666666,18.6,6.633333333333333,0.0,3,0,0,0.0,1,Alto
192.168.15.12,51,21.045098039215684,32.2,8.529411764705882,0.001764705882352941,3,9,0,3.0,0,Crítico
192.168.15.13,6,19.166666666666668,22.6,8.083333333333334,0.0,3,0,0,0.0,1,Alto
192.168.15.16,2,18.3,18.6,7.65,0.0,3,0,0,0.0,1,Alto
192.168.15.17,48,21.410416666666666,32.2,8.68125,0.001875,3,9,0,5.0,0,Crítico
192.168.15.187,38,20.323684210526316,23.9,8.592105263157896,0.002105263157894737,3,1,0,5.0,0,Crítico
192.168.15.2,7,16.714285714285715,20.6,6.857142857142857,0.0014285714285714286,3,0,0,5.0,0,Crítico
192.168.15.20,6,17.96666666666667,20.6,7.483333333333333,0.0,3,0,0,1.0,1,Alto
192.168.15.29,6,15.066666666666668,18.6,6.033333333333334,0.0033333333333333335,3,0,0,3.0,2,Moderado
192.168.15.3,4,17.85,22.6,7.425,0.0,3,0,0,5.0,0,Crítico
192.168.15.4,47,21.444680851063833,32.2,8.687234042553191,0.0019148936170212765,3,9,0,1.0,1,Alto
192.168.15.5,23,20.530434782608697,23.0,8.765217391304347,0.0,3,0,0,5.0,0,Crítico
192.168.15.6,2,18.3,18.6,7.65,0.0,3,0,0,0.0,1,Alto
192.168.15.7,7,18.085714285714285,22.6,7.542857142857143,0.0014285714285714286,3,0,0,3.0,0,Crítico
192.168.15.72,46,21.445652173913043,32.2,8.67608695652174,0.0019565217391304345,3,9,0,0.0,1,Alto
192.168.15.8,51,21.23921568627451,32.2,8.574509803921568,0.0029411764705882353,3,10,0,5.0,0,Crítico
192.168.15.9,6,16.583333333333332,22.6,6.783333333333334,0.008333333333333333,3,0,0,5.0,0,Crítico
192.168.2.102,8,18.975,22.6,7.987500000000001,0.0,3,0,0,0.0,1,Alto
192.168.2.104,2,18.3,18.6,7.65,0.0,3,0,0,0.0,1,Alto
192.168.2.132,10,18.55,23.9,7.51,0.006999999999999999,3,1,0,2.0,1,Alto
192.168.2.7,45,21.482222222222223,32.2,8.682222222222224,0.002,3,9,0,0.0,1,Alto
192.168.31.204,12,18.416666666666668,22.6,7.708333333333333,0.0,3,0,0,1.0,1,Alto
192.168.5.176,36,19.544444444444444,29.6,7.508333333333334,0.05666666666666667,3,9,0,0.0,1,Alto
192.168.60.144,3,18.599999999999998,22.2,7.8,0.0,3,0,0,0.0,1,Alto
